filename,width,height,class,xmin,ymin,xmax,ymax
P1010003.jpg,200,90,char,26,20,45,65
P1010003.jpg,200,90,char,46,20,65,65
P1010003.jpg,200,90,char,84,21,104,66
P1010003.jpg,200,90,char,105,21,125,67
P1010003.jpg,200,90,char,128,21,147,66
P1010003.jpg,200,90,char,148,21,166,67
P1010003.jpg,200,90,char,167,21,184,66
P1010004.jpg,200,90,char,27,20,46,60
P1010004.jpg,200,90,char,48,20,65,61
P1010004.jpg,200,90,char,89,23,101,63
P1010004.jpg,200,90,char,104,22,122,63
P1010004.jpg,200,90,char,123,23,141,63
P1010004.jpg,200,90,char,149,24,167,65
P1010004.jpg,200,90,char,169,25,186,65
P1010005.jpg,200,90,char,22,20,41,62
P1010005.jpg,200,90,char,42,21,53,64
P1010005.jpg,200,90,char,54,21,73,64
P1010005.jpg,200,90,char,86,21,110,65
P1010005.jpg,200,90,char,125,22,143,65
P1010005.jpg,200,90,char,144,21,155,65
P1010005.jpg,200,90,char,156,21,174,66
P1010006.jpg,200,90,char,28,20,45,70
P1010006.jpg,200,90,char,49,21,64,71
P1010006.jpg,200,90,char,88,19,105,71
P1010006.jpg,200,90,char,107,19,124,71
P1010006.jpg,200,90,char,126,18,143,70
P1010006.jpg,200,90,char,153,17,171,70
P1010006.jpg,200,90,char,173,16,191,71
P1010008.jpg,200,90,char,24,19,43,76
P1010008.jpg,200,90,char,90,16,108,73
P1010008.jpg,200,90,char,109,15,126,73
P1010008.jpg,200,90,char,133,13,146,70
P1010008.jpg,200,90,char,164,8,181,67
P1010009.jpg,200,90,char,29,23,47,70
P1010009.jpg,200,90,char,48,22,67,70
P1010009.jpg,200,90,char,87,19,104,68
P1010009.jpg,200,90,char,106,20,123,67
P1010009.jpg,200,90,char,125,18,139,65
P1010009.jpg,200,90,char,151,17,168,63
P1010009.jpg,200,90,char,169,15,187,63
P1010010.jpg,200,90,char,30,18,46,64
P1010010.jpg,200,90,char,47,18,65,65
P1010010.jpg,200,90,char,82,17,100,65
P1010010.jpg,200,90,char,101,16,116,65
P1010010.jpg,200,90,char,120,18,133,64
P1010010.jpg,200,90,char,135,17,152,64
P1010010.jpg,200,90,char,156,15,173,62
P1010010.jpg,200,90,char,174,14,190,62
P1010011.jpg,200,90,char,26,24,43,67
P1010011.jpg,200,90,char,44,23,63,68
P1010011.jpg,200,90,char,84,25,104,69
P1010011.jpg,200,90,char,105,25,123,69
P1010011.jpg,200,90,char,125,25,144,69
P1010011.jpg,200,90,char,153,26,172,68
P1010011.jpg,200,90,char,173,26,192,68
P1010012.jpg,200,90,char,31,19,46,65
P1010012.jpg,200,90,char,48,21,64,65
P1010012.jpg,200,90,char,86,20,102,65
P1010012.jpg,200,90,char,104,20,121,66
P1010012.jpg,200,90,char,125,21,138,66
P1010012.jpg,200,90,char,148,21,166,64
P1010012.jpg,200,90,char,168,20,184,63
P1010015.jpg,200,90,char,30,22,48,60
P1010015.jpg,200,90,char,50,21,66,61
P1010015.jpg,200,90,char,84,23,102,63
P1010015.jpg,200,90,char,104,24,120,64
P1010015.jpg,200,90,char,122,23,139,65
P1010015.jpg,200,90,char,148,25,165,64
P1010015.jpg,200,90,char,169,24,182,64
P1010016.jpg,200,90,char,36,20,52,58
P1010016.jpg,200,90,char,55,19,72,58
P1010016.jpg,200,90,char,90,21,107,57
P1010016.jpg,200,90,char,109,20,124,58
P1010016.jpg,200,90,char,126,20,144,59
P1010016.jpg,200,90,char,152,21,168,58
P1010016.jpg,200,90,char,171,21,187,60
P1010017.jpg,200,90,char,25,32,42,72
P1010017.jpg,200,90,char,43,31,61,72
P1010017.jpg,200,90,char,82,31,100,68
P1010017.jpg,200,90,char,101,30,117,67
P1010017.jpg,200,90,char,121,29,133,66
P1010017.jpg,200,90,char,135,28,154,64
P1010017.jpg,200,90,char,159,26,175,63
P1010017.jpg,200,90,char,176,25,191,62
P1010023.jpg,200,90,char,29,25,47,60
P1010023.jpg,200,90,char,48,24,65,61
P1010023.jpg,200,90,char,83,26,101,63
P1010023.jpg,200,90,char,103,25,119,63
P1010023.jpg,200,90,char,120,28,138,64
P1010023.jpg,200,90,char,146,28,165,64
P1010023.jpg,200,90,char,167,27,185,66
P1010024.jpg,200,90,char,24,25,40,66
P1010024.jpg,200,90,char,41,25,58,66
P1010024.jpg,200,90,char,74,25,92,67
P1010024.jpg,200,90,char,93,25,110,67
P1010024.jpg,200,90,char,111,25,128,67
P1010024.jpg,200,90,char,131,25,143,67
P1010024.jpg,200,90,char,151,26,168,68
P1010024.jpg,200,90,char,169,26,188,68
